event,property_username,property_$initial_referring_domain,property_$initial_referrer,property_$screen_width,property_$referring_domain,property_distinct_id,property_$city,property_$screen_height,property_path,property_$referrer,property_mp_country_code,property_$region,property_mp_lib,property_currentTime,property_$device,property_time,property_$os,property_$browser,property_subject
Practice View,testing,$direct,$direct,1440,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Washington,900,/practice/xpZbLKWmjPNQJ9LiE,,US,District of Columbia,web,,,1404315315,Windows,Chrome,RE: Meeting next week regarding sales conference
Play Audio,testing,$direct,$direct,1440,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Washington,900,/survey,,US,District of Columbia,web,1404340534452,,1404315338,Windows,Chrome,
Message View,testing,$direct,$direct,1440,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Washington,900,/messages/e69eSJTJhpDBpoSYz,,US,District of Columbia,web,1404340538412,,1404315342,Windows,Chrome,I Can't Make Friday
Back to Inbox,testing,$direct,$direct,1440,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Washington,900,/survey,,US,District of Columbia,web,1404340539301,,1404315343,Windows,Chrome,
Message View,testing,$direct,$direct,1440,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Washington,900,/messages/9zn3jHhfHSaamTm8p,,US,District of Columbia,web,1404340540065,,1404315343,Windows,Chrome,Availability for Meeting About Strategic Plan
Back to Inbox,testing,$direct,$direct,1440,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Washington,900,/survey,,US,District of Columbia,web,1404340540853,,1404315344,Windows,Chrome,
Audio Ended,testing,$direct,$direct,1440,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Washington,900,/survey,,US,District of Columbia,web,1404340895424,,1404315699,Windows,Chrome,
Page Views,anonymous,$direct,$direct,1024,,146f943265012d-02ae71774834428-43514036-c0000-146f9432651113,Wyoming,768,/,,US,Michigan,web,,,1404316067,Windows,Firefox,
Page Views,anonymous,$direct,$direct,1920,,146f9408e4e88-0029723914ae77-43514136-1fa400-146f9408e4f1f7,Puerto Ordaz,1080,/,,VE,Bolivar,web,,,1404316069,Windows,Firefox,
Page Views,anonymous,$direct,$direct,1920,,146f9432a0d91-0dc6e6f605677a-43514136-1fa400-146f9432a0e151,,1080,/,,US,,web,,,1404316070,Windows,Firefox,
Page Views,anonymous,$direct,$direct,1366,,146f9433d3872-09c2c222c-4e48022f-100200-146f9433d39130,Ionia,768,/,,US,Michigan,web,,,1404316071,Windows,Chrome,
Page Views,anonymous,$direct,$direct,1920,,146f9431e6858e-066b1308a-4e48022f-1fa400-146f9431e69c2b,San Francisco,1080,/,,US,California,web,,,1404316077,Windows,Chrome,
Page Views,anonymous,$direct,$direct,1366,,146f9436328f3-0e00a0936-4e48022f-100200-146f94363297f,,768,/,,US,,web,,,1404316089,Windows,Chrome,
Page Views,anonymous,$direct,$direct,1366,,146f9437ad69-0838570fbda672-43514336-100200-146f9437ad8111,Marietta,768,/,,US,Georgia,web,,,1404316089,Windows,Firefox,
Page Views,anonymous,$direct,$direct,1920,,146f943993780-09a5f210e-4e48022f-1fa400-146f94399381e2,West Milford,1080,/,,US,New Jersey,web,,,1404316093,Windows,Chrome,
Page Views,anonymous,$direct,$direct,1280,,146f943a9f33df-07ed3e57f31428-41652c42-fa000-146f943a9f47d0,Wooster,800,/,,US,Ohio,web,,,1404316098,Mac OS X,Firefox,
Page Views,anonymous,$direct,$direct,1366,,146f943ab6b34-0278fb019-4e48002f-100200-146f943ab6c414,Jacksonville,768,/,,US,Florida,web,,,1404316100,Windows,Chrome,
Page Views,anonymous,$direct,$direct,1093,,146f94390969-075cf0ebcf1a808-43514136-a3d7e-146f94390987a,Saint Petersburg,614,/,,US,Florida,web,,,1404316103,Windows,Firefox,
Page Views,anonymous,$direct,$direct,1366,,146f943c60d1cd-01f088fc7d00fd8-43514336-100200-146f943c60e1af,Denver,768,/,,US,Colorado,web,,,1404316107,Windows,Firefox,
Practice View,ANORFGUY8UOV2,$direct,$direct,1366,,146f9436328f3-0e00a0936-4e48022f-100200-146f94363297f,,768,/practice/o5R3tKnPMptZLTzCm,,US,,web,,,1404316111,Windows,Chrome,RE: Meeting next week regarding sales conference
Page Views,anonymous,$direct,$direct,1366,,146f942bcd539d-01f2a0d82-4e48022f-100200-146f942bcd66ba,Chicago,768,/,,US,Illinois,web,,,1404316113,Windows,Chrome,
Practice View,A364RJUWQ77TDQ,$direct,$direct,1920,,146f9408e4e88-0029723914ae77-43514136-1fa400-146f9408e4f1f7,Puerto Ordaz,1080,/practice/RNsqQba4RkbLPZ3Tv,,VE,Bolivar,web,,,1404316121,Windows,Firefox,RE: Meeting next week regarding sales conference
Page Views,anonymous,$direct,$direct,1518,,146f9440728101-0a7925e84ed6f2-72287c18-13c206-146f9440729f8,Coutevroult,853,/,,FR,Ile-de-France,web,,,1404316127,Windows,Internet Explorer,
Page Views,anonymous,$direct,$direct,1366,,146f9440f47fa-0a440c651-4e48022f-100200-146f9440f481be,Aurora,768,/,,US,Illinois,web,,,1404316129,Windows,Chrome,
Practice View,A364RJUWQ77TDQ,$direct,$direct,1920,,146f9408e4e88-0029723914ae77-43514136-1fa400-146f9408e4f1f7,Puerto Ordaz,1080,/practice/RNsqQba4RkbLPZ3Tv,,VE,Bolivar,web,,,1404316136,Windows,Firefox,RE: Meeting next week regarding sales conference
Page Views,anonymous,$direct,$direct,1366,,146f944271a11e-0ad2cc03e-4e48022f-100200-146f944271c138,Whitesburg,768,/,,US,Kentucky,web,,,1404316138,Windows,Chrome,
Page Views,anonymous,$direct,$direct,1440,,146f944616d96-0c9ed745b0b212-43514136-13c680-146f944616e10c,Jamaica Plain,900,/,,US,Massachusetts,web,,,1404316139,Windows,Firefox,
Page Views,anonymous,$direct,$direct,1680,,146f94445e459-05974322a-4e4c072f-1aeaa0-146f94445e55bd,Malmö,1050,/,,SE,Skane Lan,web,,,1404316139,Windows,Chrome,
Practice View,A364RJUWQ77TDQ,$direct,$direct,1920,,146f9408e4e88-0029723914ae77-43514136-1fa400-146f9408e4f1f7,Puerto Ordaz,1080,/practice/5yzGHPf5PX8z4R3Tx,,VE,Bolivar,web,,,1404316142,Windows,Firefox,RE: Meeting next week regarding sales conference
Practice View,A2C73Y1COWCA5,$direct,$direct,1920,,146f9431e6858e-066b1308a-4e48022f-1fa400-146f9431e69c2b,San Francisco,1080,/practice/7JT4jn488kZdkdaF7,,US,California,web,,,1404316152,Windows,Chrome,RE: Meeting next week regarding sales conference
Page Views,anonymous,$direct,$direct,1920,,146f94481b50-07b2f398b-4e48002f-1fa400-146f94481b6bc,Sacramento,1080,/,,US,California,web,,,1404316153,Windows,Chrome,
Page Views,anonymous,$direct,$direct,1680,,146f9448f7356-0f7cce0ea-16124b53-1aeaa0-146f9448f749d,Detroit,1050,/,,US,Michigan,web,,,1404316155,Mac OS X,Chrome,
Practice View,A179OX1482SRXK,$direct,$direct,1366,,146f9433d3872-09c2c222c-4e48022f-100200-146f9433d39130,Ionia,768,/practice/mDZtMASd6gNoTi9ju,,US,Michigan,web,,,1404316156,Windows,Chrome,RE: Meeting next week regarding sales conference
Practice View,A3D2U4QF7821ZW,$direct,$direct,1920,,146f9432a0d91-0dc6e6f605677a-43514136-1fa400-146f9432a0e151,,1080,/practice/Dpvu5YXPwqgFYhF3r,,US,,web,,,1404316157,Windows,Firefox,RE: Meeting next week regarding sales conference
Page Views,anonymous,$direct,$direct,1536,,146f9448aad5d4-0d85b22ef-4e48002f-144000-146f9448aaec76,Irving,864,/,,US,Texas,web,,,1404316160,Windows,Chrome,
Practice View,A2C73Y1COWCA5,$direct,$direct,1920,,146f9431e6858e-066b1308a-4e48022f-1fa400-146f9431e69c2b,San Francisco,1080,/practice/rLcuj94txkDFoYvsf,,US,California,web,,,1404316163,Windows,Chrome,RE: Meeting next week regarding sales conference
Practice View,A2C73Y1COWCA5,$direct,$direct,1920,,146f9431e6858e-066b1308a-4e48022f-1fa400-146f9431e69c2b,San Francisco,1080,/practice/bAEmGdA6fKaaD5THz,,US,California,web,,,1404316168,Windows,Chrome,RE: Meeting next week regarding sales conference
